Wavelength,Daylight Window,Daylight Direct
324.1,0.0003,0.0033
324.4,0.0010,0.0053
324.6,0.0036,0.0034
324.8,0.0004,0.0052
325.0,0.0039,0.0045
325.2,0.0017,0.0061
325.4,0.0021,0.0045
325.6,0.0000,0.0052
325.8,0.0008,0.0044
326.1,0.0013,0.0040
326.3,0.0013,0.0026
326.5,0.0009,0.0042
326.7,0.0015,0.0046
326.9,0.0031,0.0056
327.1,0.0021,0.0011
327.3,0.0025,0.0017
327.5,0.0009,0.0022
327.8,0.0013,0.0024
328.0,0.0015,0.0028
328.2,0.0030,0.0039
328.4,0.0019,0.0042
328.6,0.0010,0.0035
328.8,-0.0012,0.0052
329.0,0.0018,0.0061
329.2,-0.0008,0.0037
329.5,0.0031,0.0053
329.7,0.0023,0.0030
329.9,0.0010,0.0045
330.1,-0.0012,0.0060
330.3,0.0032,0.0036
330.5,0.0013,0.0031
330.7,0.0022,0.0063
330.9,-0.0017,0.0054
331.2,0.0038,0.0072
331.4,0.0002,0.0021
331.6,0.0020,0.0029
331.8,0.0006,0.0032
332.0,0.0017,0.0067
332.2,0.0004,0.0055
332.4,0.0036,0.0041
332.6,-0.0014,0.0022
332.9,0.0020,0.0036
333.1,0.0004,0.0046
333.3,-0.0021,0.0015
333.5,0.0004,0.0054
333.7,0.0015,0.0056
333.9,-0.0004,0.0043
334.1,0.0031,0.0039
334.3,-0.0017,0.0052
334.6,0.0031,0.0090
334.8,0.0010,0.0031
335.0,0.0001,0.0054
335.2,0.0004,0.0053
335.4,0.0031,0.0078
335.6,0.0004,0.0055
335.8,0.0012,0.0028
336.0,0.0013,0.0037
336.3,0.0001,0.0044
336.5,0.0000,0.0057
336.7,0.0000,0.0029
336.9,-0.0008,0.0044
337.1,0.0026,0.0059
337.3,-0.0011,0.0028
337.5,0.0035,0.0061
337.8,0.0026,0.0040
338.0,0.0026,0.0070
338.2,0.0010,0.0048
338.4,0.0032,0.0049
338.6,0.0016,0.0055
338.8,0.0016,0.0045
339.0,0.0013,0.0034
339.2,0.0028,0.0069
339.5,0.0021,0.0046
339.7,0.0022,0.0052
339.9,0.0022,0.0029
340.1,0.0013,0.0055
340.3,0.0007,0.0042
340.5,0.0007,0.0063
340.7,0.0000,0.0058
340.9,-0.0002,0.0042
341.2,0.0024,0.0056
341.4,0.0013,0.0065
341.6,-0.0002,0.0049
341.8,-0.0004,0.0047
342.0,-0.0006,0.0080
342.2,0.0007,0.0050
342.4,0.0007,0.0041
342.7,0.0027,0.0029
342.9,0.0014,0.0049
343.1,0.0023,0.0042
343.3,0.0012,0.0049
343.5,0.0040,0.0059
343.7,0.0003,0.0062
343.9,0.0018,0.0077
344.2,0.0020,0.0069
344.4,0.0018,0.0066
344.6,-0.0020,0.0060
344.8,0.0006,0.0067
345.0,0.0013,0.0061
345.2,0.0016,0.0045
345.4,0.0010,0.0065
345.6,0.0012,0.0073
345.9,0.0018,0.0046
346.1,0.0015,0.0042
346.3,0.0009,0.0049
346.5,0.0030,0.0064
346.7,0.0055,0.0042
346.9,0.0013,0.0059
347.1,0.0007,0.0019
347.4,0.0006,0.0061
347.6,0.0004,0.0057
347.8,0.0030,0.0065
348.0,-0.0018,0.0045
348.2,0.0041,0.0062
348.4,-0.0005,0.0055
348.6,-0.0003,0.0058
348.9,-0.0012,0.0049
349.1,0.0029,0.0040
349.3,-0.0019,0.0051
349.5,0.0040,0.0059
349.7,0.0023,0.0051
349.9,-0.0013,0.0062
350.1,0.0027,0.0036
350.4,0.0038,0.0048
350.6,0.0000,0.0057
350.8,0.0013,0.0074
351.0,-0.0007,0.0055
351.2,0.0028,0.0058
351.4,0.0009,0.0068
351.6,0.0014,0.0067
351.9,0.0018,0.0066
352.1,0.0023,0.0066
352.3,-0.0022,0.0083
352.5,0.0012,0.0071
352.7,0.0004,0.0080
352.9,0.0006,0.0082
353.1,0.0020,0.0065
353.3,-0.0001,0.0073
353.6,0.0018,0.0095
353.8,0.0001,0.0070
354.0,-0.0006,0.0064
354.2,0.0000,0.0064
354.4,0.0008,0.0052
354.6,0.0026,0.0074
354.8,0.0013,0.0081
355.1,0.0012,0.0079
355.3,0.0006,0.0065
355.5,0.0004,0.0081
355.7,0.0019,0.0084
355.9,0.0007,0.0078
356.1,0.0013,0.0069
356.4,0.0007,0.0085
356.6,0.0002,0.0048
356.8,0.0037,0.0065
357.0,-0.0010,0.0048
357.2,0.0028,0.0086
357.4,0.0003,0.0066
357.6,0.0013,0.0087
357.9,0.0032,0.0088
358.1,0.0013,0.0065
358.3,0.0015,0.0088
358.5,0.0008,0.0047
358.7,0.0021,0.0079
358.9,0.0021,0.0074
359.1,0.0028,0.0058
359.4,0.0044,0.0058
359.6,0.0011,0.0061
359.8,0.0018,0.0085
360.0,0.0006,0.0066
360.2,0.0004,0.0061
360.4,0.0010,0.0058
360.6,0.0010,0.0090
360.9,0.0023,0.0059
361.1,0.0007,0.0101
361.3,0.0002,0.0040
361.5,0.0047,0.0079
361.7,0.0009,0.0076
361.9,0.0016,0.0086
362.1,0.0007,0.0056
362.4,0.0006,0.0071
362.6,0.0015,0.0061
362.8,0.0023,0.0067
363.0,0.0009,0.0069
363.2,0.0013,0.0110
363.4,0.0025,0.0071
363.6,0.0015,0.0080
363.9,0.0028,0.0069
364.1,0.0016,0.0083
364.3,0.0006,0.0081
364.5,0.0022,0.0092
364.7,0.0005,0.0077
364.9,0.0034,0.0080
365.2,0.0015,0.0084
365.4,0.0031,0.0101
365.6,0.0029,0.0070
365.8,0.0041,0.0091
366.0,0.0024,0.0081
366.2,0.0052,0.0101
366.4,0.0025,0.0084
366.7,0.0031,0.0115
366.9,0.0031,0.0097
367.1,0.0032,0.0074
367.3,0.0019,0.0061
367.5,0.0037,0.0096
367.7,0.0045,0.0077
368.0,0.0032,0.0094
368.2,0.0022,0.0087
368.4,0.0035,0.0085
368.6,0.0014,0.0109
368.8,0.0031,0.0098
369.0,0.0027,0.0088
369.2,0.0025,0.0113
369.5,-0.0004,0.0085
369.7,0.0042,0.0093
369.9,0.0011,0.0086
